socialmedia,age,mobile,season,newcustomer,adcost,adrevenue,profit,profit %,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,mobile,fall,yes,0.03,1.28,1.25,41.66666667,,,,No of ads,Total Profit,Min Age,Max Age,,,,,,,,,,,,,,,,,
TikTok,21,mobile,summer,no,0.21,6.52,6.31,30.04761905,,,YouTube,119,1619.1,10,52,,,,,,,,,,,,,,,,,
TikTok,19,mobile,fall,no,0.11,2.13,2.02,18.36363636,,,Instagram,85,377.63,16,38,,,,,,,,,,,,,,,,,
TikTok,19,mobile,spring,yes,0.08,1.04,0.96,12,,,TikTok,131,1040.95,10,27,,,,,,,,,,,,,,,,,
TikTok,25,mobile,fall,no,0.45,5.66,5.21,11.57777778,,,Twitter,18,232.36,25,45,,,,,,,,,,,,,,,,,
Instagram,33,computer,spring,no,4.53,39.74,35.21,7.772626932,,,Facebook,57,197.38,14,51,,,,,,,,,,,,,,,,,
Twitter,25,mobile,winter,yes,1.67,14.62,12.95,7.754491018,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,30,computer,summer,yes,10.7,92.43,81.73,7.638317757,,PROFIT,,fall,winter,spring,summer,,,ADCOST,,fall,winter,spring,summer,,,PROFIT %,,fall,winter,spring,summer,
TikTok,20,mobile,spring,no,0.8,6.82,6.02,7.525,,,YouTube,381.84,285.59,637.62,314.05,1619.1,,,YouTube,303.06,260.51,420.58,231.28,1215.43,,,YouTube,126%,110%,152%,136%,133%
YouTube,47,computer,spring,no,8.59,69.48,60.89,7.088474971,,,Instagram,136.16,131.53,127.76,26.67,422.12,,,Instagram,138.02,141.78,110.55,90.59,480.94,,,Instagram,99%,93%,116%,29%,88%
TikTok,18,mobile,fall,no,0.19,1.53,1.34,7.052631579,,,TikTok,144.34,112.01,144.23,132.07,532.65,,,TikTok,126.16,136.04,85.74,156.21,504.15,,,TikTok,114%,82%,168%,85%,106%
Instagram,31,computer,spring,no,3.37,26.91,23.54,6.985163205,,,Twitter,24.58,39.29,16.64,2.43,82.94,,,Twitter,15.28,13.36,10.42,6.69,45.75,,,Twitter,161%,294%,160%,36%,181%
TikTok,20,mobile,winter,yes,0.81,6.46,5.65,6.975308642,,,Facebook,30.89,48.22,47.02,31.87,158,,,Facebook,56.77,57.13,68.87,84.5,267.27,,,Facebook,54%,84%,68%,38%,59%
TikTok,16,mobile,fall,no,0.15,1.1,0.95,6.333333333,,,,717.81,616.64,973.27,507.09,2814.81,,,,639.29,608.82,696.16,569.27,2513.54,,,,112%,101%,140%,89%,112%
TikTok,19,mobile,spring,no,0.26,1.83,1.57,6.038461538,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,25,computer,spring,no,13.74,93.73,79.99,5.821688501,,,,fall,winter,spring,summer,,,,,,,,,,,,,,,,,
YouTube,36,computer,summer,yes,12.78,84.2,71.42,5.588419405,,,YouTube,31,25,40,23,,,,,,,,,,,,,,,,,
TikTok,21,mobile,spring,no,7.48,48.9,41.42,5.537433155,,,Instagram,24,25,20,16,,,,,,,,,,,,,,,,,
YouTube,49,computer,spring,no,7.84,51.1,43.26,5.517857143,,,TikTok,37,33,24,37,,,,,,,,,,,,,,,,,
Twitter,35,computer,winter,no,1.92,12.34,10.42,5.427083333,,,Twitter,5,7,4,2,,,,,,,,,,,,,,,,,
Twitter,35,computer,winter,yes,1.35,8.65,7.3,5.407407407,,,Facebook,13,12,15,17,,,,,,,,,,,,,,,,,
Twitter,44,computer,winter,yes,1.61,10.27,8.66,5.378881988,,,,110,102,103,95,,,,,,,,,,,,,,,,,
YouTube,52,computer,fall,yes,8.17,52.06,43.89,5.372093023,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,11,mobile,winter,no,2.41,15.31,12.9,5.352697095,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,12,mobile,winter,yes,4.49,28.51,24.02,5.349665924,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,17,mobile,spring,no,2.48,15.39,12.91,5.205645161,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,21,mobile,spring,yes,2.01,12.37,10.36,5.154228856,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,35,computer,spring,no,9.79,59.21,49.42,5.048008172,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,19,mobile,winter,yes,1.68,9.96,8.28,4.928571429,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,33,computer,winter,no,10.97,64.73,53.76,4.900638104,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,43,computer,spring,no,9.7,56.59,46.89,4.834020619,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,34,computer,fall,no,11.31,65.5,54.19,4.791335102,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,27,computer,fall,no,5.65,32.63,26.98,4.775221239,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,13,mobile,fall,no,3.55,20.15,16.6,4.676056338,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,19,mobile,spring,no,1.58,8.96,7.38,4.670886076,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,26,mobile,fall,no,2.14,12.02,9.88,4.61682243,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,33,computer,spring,yes,5.9,33.05,27.15,4.601694915,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,20,mobile,spring,yes,0.6,3.34,2.74,4.566666667,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,42,computer,spring,no,10.21,56.18,45.97,4.50244858,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,35,computer,spring,no,2.94,15.94,13,4.421768707,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,20,mobile,summer,no,2.1,11.04,8.94,4.257142857,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,40,computer,winter,no,11.27,57.6,46.33,4.110913931,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,17,mobile,fall,yes,7.43,36.78,29.35,3.950201884,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,20,mobile,spring,no,1.51,7.38,5.87,3.887417219,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,27,mobile,fall,yes,4.71,22.61,17.9,3.800424628,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,51,computer,spring,no,2.25,10.54,8.29,3.684444444,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,20,mobile,fall,no,3.52,16.48,12.96,3.681818182,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,18,computer,summer,no,11.97,55.82,43.85,3.663324979,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,36,computer,spring,yes,13.59,62.65,49.06,3.610007358,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,15,mobile,summer,no,4.35,19.55,15.2,3.494252874,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,41,computer,summer,yes,6.96,31.01,24.05,3.45545977,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,11,mobile,winter,yes,3.88,17.23,13.35,3.440721649,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,mobile,summer,no,5.72,24.87,19.15,3.347902098,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,37,computer,spring,no,14.81,64.23,49.42,3.336934504,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,22,mobile,fall,no,6.82,29.57,22.75,3.335777126,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,13,mobile,summer,no,5.27,22.55,17.28,3.278937381,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,25,computer,fall,no,6.28,26.75,20.47,3.25955414,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,31,computer,summer,no,5.63,23.95,18.32,3.253996448,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,48,computer,fall,no,12.4,52.73,40.33,3.252419355,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,28,computer,winter,yes,8.86,37.63,28.77,3.24717833,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,34,computer,fall,no,7.88,33.32,25.44,3.228426396,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,19,mobile,winter,yes,1.37,5.76,4.39,3.204379562,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,47,mobile,winter,no,5.49,22.93,17.44,3.176684882,,,,,,,,,,,,,,,,,,,,,,,,
